Frau Präsidentin! Ich habe mich nur zu Wort gemeldet, weil der Kollege Barón Crespo es für richtig hielt, hier noch einmal das Wort zu ergreifen.	Madam President, I have only indicated my wish to speak because Mr Barón Crespo considered it fitting to take the floor here again.
Ich muss Ihnen freimütig sagen: Ich halte es nicht für notwendig, dass zu dieser Sache hier noch einmal gesprochen wurde.	I must tell you that, quite frankly, I do not think it was necessary to have addressed this subject here again.
Aber da das getan wurde, möchte ich doch ein Wort dazu sagen.	Since this has been done, however, I would just like to say one or two words on the matter.
Natürlich ist das Verfahren der Aufhebung von Immunitäten ein schwieriges Verfahren, und wir brauchen dafür gemeinsame Regeln.	Of course, the process of waiving immunity is a difficult one, and we need common rules to govern this.
Aber, Herr Kollege Barón Crespo, es ist bereits so beschlossen, dass der Ausschuss für Recht und Binnenmarkt sich damit befasst.	But, Mr Barón Crespo, it has already been decided that the Committee on Legal Affairs and the Internal Market shall deal with this.
Deswegen war Ihre Bemerkung hier überflüssig.	Therefore, your comment here was unnecessary.
Ich möchte ausdrücklich sagen, Frau Präsidentin, dass Sie sich in allen Fragen des Verfahrens völlig korrekt nach Recht und Gesetz verhalten haben, und ich möchte dies hier noch einmal ausdrücklich unterstreichen.	I would particularly like to stress, Madam President, that, in all questions related to this process, you have conducted yourself completely in accordance with the law, and I would like to emphasise this here once again.
Unserem früheren Kollegen Silvio Berlusconi wünschen wir als dem Ministerpräsidenten Italiens viel Erfolg.	We would like to wish the former Member of this Parliament, Silvio Berlusconi, every success as Italy' s Prime Minister.
Wir sind sicher, dass wir auch mit der Unterstützung Italiens in eine gute europäische Zukunft gehen!	We are certain that we also have the support of Italy in building a sound future for Europe.
(Beifall von der PPE - Fraktion)	(Applause from the PPE Group)
